OEM,Model,Segment,Month,Year,NoOfSales,EngineCapacity,Mileage,Model Price,Dealer location,Region
Bajaj,HUSQVARNA,Motorcycle,Sep,2022,266,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Sep,2022,1848,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motor,Sep,2022,777,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,Sep,2022,1506,375,25-30,287295,Delhi,North
Bajaj,Platina,Motor,Oct,2021,84109,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Oct,2021,18084,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Oct,2021,835,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Oct,2021,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Oct,2021,97,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2021,48662,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2021,24495,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,Oct,2021,4,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorc,Oct,2021,7407,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Oct,2021,4696,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Oct,2021,5936,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Oct,2021,983,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Oct,2021,1162,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,Oct,2021,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Oct,2021,0,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motor,Oct,2021,1091,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,Oct,2021,1171,375,25-30,287295,Delhi,North
Bajaj,Platina,Moto,Aug,2022,99987,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Aug,2022,15047,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Aug,2022,2762,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Aug,2022,9047,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcyc,Aug,2022,263,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Aug,2022,53153,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Aug,2022,28335,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,Aug,2022,3247,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Moto,Aug,2022,14994,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Moto,Aug,2022,1757,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Moto,Aug,2022,653,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcyc le,Aug,2022,681,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcyc,Aug,2022,1405,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcyc,Aug,2022,71,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Aug,2022,633,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,Aug,2022,973,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Aug,2022,830,375,25-30,287295,Delhi,North
Bajaj,Platina,Moto,Sep,2021,82559,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,Sep,2021,25852,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Sep,2021,642,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Sep,2021,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcyc,Sep,2021,582,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Sep,2021,39081,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Sep,2021,11082,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,Sep,2021,399,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Moto,Sep,2021,3703,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Moto,Sep,2021,2326,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Moto,Sep,2021,4108,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcyc le,Sep,2021,691,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcyc,Sep,2021,1173,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcyc,Sep,2021,148,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,Sep,2021,4,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,Sep,2021,1222,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Sep,2021,373,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,July,2022,48484,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,July,2022,6064,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,July,2022,3002,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,July,2022,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,July,2022,14,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,July,2022,59844,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,July,2022,31416,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,July,2022,1143,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,July,2022,9964,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,July,2022,1607,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,July,2022,681,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,July,2022,113,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,July,2022,847,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,July,2022,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc Cle,July,2022,0,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,July,2022,409,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,July,2022,494,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,Aug,2021,56615,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,Aug,2021,26578,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,Aug,2021,364,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,CT ,Motorcycle,Aug,2021,0,125,70-75,55300,Delhi,North
Bajaj,Duke ,Motorcycle,Aug,2021,757,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,Aug,2021,32659,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,Aug,2021,24621,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorc,Aug,2021,2110,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,Aug,2021,4666,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,1428,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,Aug,2021,4161,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,Aug,2021,641,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,1444,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorc,Aug,2021,145,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorc Cle,Aug,2021,440,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,Aug,2021,582,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorcycle,Aug,2021,760,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,June,2022,27732,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,June,2022,2413,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,June,2022,2469,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,Duke ,Motorcycle,June,2022,0,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,June,2022,51554,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,June,2022,16976,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,June,2022,4828,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,June,2022,14802,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,June,2022,767,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,June,2022,391,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,June,2022,2108,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,June,2022,218,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,June,2022,4,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,June,2022,232,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,June,2022,214,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,June,2022,0,375,25-30,287295,Delhi,North
Bajaj,Platina   ,Motorc,July,2021,54606,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,July,2021,27962,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,July,2021,730,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,Duke ,Motorcycle,July,2021,749,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,July,2021,34667,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,July,2021,21535,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,July,2021,1866,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,July,2021,5408,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,July,2021,2019,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,July,2021,3484,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,July,2021,530,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,July,2021,1002,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,July,2021,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,July,2021,395,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,July,2021,411,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,July,2021,676,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,May,2022,17336,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,May,2022,1257,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,May,2022,2544,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,Duke ,Motorcycle,May,2022,4,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,May,2022,56396,125,50-55,"75,494 - 88,869",Delhi,North
